Timestamp,Angle,Velocity_reconstructed,Phase_deg,Stage
562326,-15.692,-28.976,-77.151,2
562349,-16.41,-26.829,-79.771,2
562372,-16.995,-22.029,-79.241,2
562400,-17.402,-15.566,-73.894,2
562423,-17.627,-8.493,-58.933,2
562446,-17.694,-1.689,-27.314,2
562469,-17.635,4.301,6.32,3
562492,-17.477,9.317,23.86,3
562515,-17.234,13.552,31.65,3
562538,-16.902,17.433,35.353,3
562561,-16.469,21.471,37.35,3
562584,-15.92,26.104,38.619,3
562607,-15.242,31.554,39.497,3
562630,-14.433,37.718,40.001,3
562653,-13.497,44.103,39.997,3
562676,-12.449,49.824,39.275,3
562699,-11.311,53.691,37.557,3
562722,-10.122,54.379,34.439,3
562745,-8.937,50.704,29.311,3
562768,-7.838,41.953,21.234,3
562791,-6.932,28.21,8.994,3
562814,-6.334,10.574,-7.974,2
562837,-6.147,-8.808,-27.377,2
562860,-6.426,-26.991,-44.404,2
562883,-7.159,-40.741,-56.281,2
562906,-8.251,-47.262,-63.019,2
562929,-9.531,-44.961,-64.883,2
562953,-10.766,-34.063,-60.481,2
562976,-11.708,-16.86,-44.766,2
562999,-12.144,2.542,-13.899,2
563022,-11.966,19.003,11.337,3
563045,-11.235,27.526,18.708,3
563069,-10.2,24.555,12.708,3
563092,-9.262,9.039,-6.99,2
563115,-8.868,-17.073,-38.987,2
563138,-9.378,-49.09,-66.994,2
563161,-10.94,-80.6,-83.953,2
563184,-13.442,-105.003,-94.414,1
563207,-16.535,-117.157,-101.922,1
563230,-19.744,-114.69,-108.362,1
563253,-22.592,-98.62,-115.094,1
563276,-24.72,-73.11,-123.854,1
563299,-25.962,-44.431,-138.002,1
563322,-26.367,-19.421,-162.801,1
563345,-26.183,-3.844,169.068,4
563368,-25.785,-1.059,162.982,4
563391,-25.592,-11.337,-173.276,1
563414,-25.956,-31.94,-146.695,1
563437,-27.082,-57.914,-135.76,1
563460,-28.981,-83.341,-132.917,1
563483,-31.483,-102.716,-133.695,1
563506,-34.296,-112.099,-136.682,1
563529,-37.086,-109.802,-141.636,1
563552,-39.551,-96.474,-148.849,1
563575,-41.474,-74.659,-158.852,1
563598,-42.737,-47.989,-171.912,1
563621,-43.323,-20.261,172.854,4
563644,-43.294,5.374,157.747,4
563667,-42.764,26.91,144.961,4
563690,-41.867,43.611,135.159,4
563713,-40.723,55.781,127.848,4
563737,-39.421,64.282,122.24,4
563760,-38.004,69.997,117.686,4
563784,-36.486,73.385,113.818,4
563807,-34.874,74.278,110.558,4
563830,-33.198,71.972,108.105,4
563853,-31.532,65.562,106.955,4
563876,-29.995,54.418,108.116,4
563899,-28.736,38.634,113.911,4
563922,-27.9,19.302,130.11,4
563945,-27.593,-1.481,163.309,4
563968,-27.847,-20.913,-166.367,1
563991,-28.603,-36.011,-153.683,1
564014,-29.711,-44.243,-151.217,1
564037,-30.95,-44.088,-154.754,1
564060,-32.068,-35.393,-163.679,1
564083,-32.826,-19.416,-178.995,1
564106,-33.047,1.449,159.274,4
564129,-32.649,24.182,135.991,4
564153,-31.656,45.756,117.352,4
564176,-30.181,63.694,104.393,4
564199,-28.396,76.432,95.409,4
564222,-26.481,83.411,88.831,3
564245,-24.588,84.927,83.641,3
564268,-22.811,81.816,79.16,3
564291,-21.184,75.122,74.83,3
564314,-19.702,65.872,70.063,3
564337,-18.346,55.025,64.102,3
564360,-17.111,43.58,55.944,3
564383,-16.016,32.756,44.703,3
564411,-15.093,24.086,31.439,3
564434,-14.366,19.323,21.3,3
564457,-13.815,20.1,19.77,3
564480,-13.36,27.371,26.42,3
564503,-12.847,40.826,35.476,3
564527,-12.083,58.454,42.067,3
564550,-10.883,76.526,45.049,3
564573,-9.148,90.088,44.786,3
564596,-6.941,93.979,41.391,3
564619,-4.52,84.129,34.033,3
564642,-2.317,58.822,20.155,3
564665,-0.846,19.502,-4.816,2
564688,-0.569,-29.142,-38.699,2
564711,-1.753,-79.935,-65.526,2
564734,-4.377,-124.673,-81.514,2
564757,-8.123,-155.917,-91.425,1
564780,-12.457,-168.658,-98.424,1
564803,-16.76,-161.43,-104.151,1
564826,-20.477,-136.578,-109.715,1
564849,-23.217,-99.654,-116.494,1
564872,-24.819,-58.101,-127.857,1
564895,-25.343,-19.607,-157.639,1
564918,-25.04,9.478,135.972,4
564941,-24.278,25.284,105.737,4
564964,-23.458,26.922,98.794,4
564988,-22.926,16.284,107.213,4
565011,-22.91,-2.707,172.535,4
565035,-23.481,-25.157,-138.889,1
565059,-24.572,-46.276,-131.18,1
565082,-26.022,-62.229,-130.734,1
565105,-27.642,-70.626,-133.018,1
565128,-29.255,-70.615,-137.371,1
565151,-30.715,-62.659,-144.197,1
565174,-31.905,-48.135,-154.616,1
565197,-32.727,-28.899,-170.28,1
565220,-33.107,-6.918,168.117,4
