Timestamp,Angle,Velocity,Phase
285101,100.18,0.91,0.26
285124,100.31,-2.40,359.31
285147,100.48,-1.16,359.67
285170,100.63,-0.60,359.83
285193,100.71,-3.21,359.08
285216,100.72,-3.50,359.00
285239,100.78,-2.63,359.25
285267,100.80,-2.40,359.31
285290,100.73,-6.31,358.19
285313,100.67,-7.17,357.95
285336,100.53,-5.10,358.54
285359,100.45,-7.31,357.91
285382,100.31,-10.91,356.88
285405,100.10,-14.08,355.97
285429,99.64,-19.65,354.39
285452,99.08,-24.05,353.14
285476,98.12,-34.27,350.28
285499,97.23,-41.30,348.33
285522,96.21,-27.18,352.26
285545,96.29,-7.82,357.76
285568,96.58,-7.07,357.98
285591,97.38,0.52,0.15
285614,98.52,36.18,10.25
285637,99.23,32.81,9.32
285660,99.32,7.21,2.07
285683,99.38,1.66,0.48
285706,99.80,17.24,4.93
285729,100.46,17.27,4.94
285752,100.36,0.29,0.08
285775,100.43,-11.34,356.76
285798,101.54,22.20,6.33
285821,103.40,67.94,18.76
285845,104.92,80.31,21.88
285869,103.54,98.50,26.22
285892,104.81,155.12,37.80
285916,108.77,168.97,40.19
285940,113.69,196.42,44.48
285964,118.47,212.37,45.00
285987,122.89,199.68,44.95
286011,127.12,180.88,42.13
286034,129.92,132.65,33.55
286057,131.11,64.22,17.80
286080,131.62,25.92,7.39
286103,131.70,1.30,0.37
286126,129.86,-71.03,340.45
286149,128.00,-52.82,345.21
286172,126.97,-19.13,354.54
286195,127.31,27.08,7.71
286218,127.78,28.61,8.14
286241,127.55,4.00,1.15
286265,127.31,-1.35,359.61
286288,127.47,15.15,4.33
286311,127.64,20.04,5.72
286334,127.66,7.81,2.24
286357,127.63,5.31,1.52
286380,127.42,1.13,0.32
286403,127.20,-0.63,359.82
286426,126.98,0.92,0.26
286449,126.72,-0.25,359.93
286472,126.49,-1.52,359.56
286495,126.34,-0.04,359.99
286518,126.00,-4.18,358.80
286542,125.67,-5.58,358.40
286565,125.49,-1.47,359.58
286589,125.29,-1.34,359.62
286612,125.05,-5.22,358.50
286635,124.97,-2.56,359.27
286658,124.73,-1.52,359.56
286681,124.41,-5.82,358.33
286704,124.13,-5.19,358.51
286727,123.88,-5.62,358.39
286750,123.59,-9.46,357.29
286773,123.36,-10.75,356.92
286797,123.14,-6.59,358.11
286820,122.84,-5.29,358.48
286843,122.66,-4.11,358.82
286866,122.49,-2.59,359.26
286889,122.32,-4.37,358.75
286912,122.13,-5.31,358.48
286935,121.90,-4.69,358.66
286959,121.65,-4.74,358.64
286982,121.44,-4.50,358.71
287005,121.27,-4.43,358.73
287028,121.11,-3.98,358.86
287051,120.97,-2.55,359.27
287074,120.86,-0.94,359.73
287097,120.63,-3.55,358.98
287121,120.32,-6.40,358.17
287145,120.15,-3.99,358.86
287169,120.00,-2.92,359.16
287193,119.84,-4.59,358.69
287216,119.73,-2.35,359.33
287239,119.44,-5.23,358.50
287262,119.16,-7.02,357.99
287291,118.99,-2.76,359.21
287315,118.76,-5.05,358.55
287339,118.52,-6.29,358.20
287362,118.24,-6.25,358.21
287386,117.82,-11.15,356.81
287409,117.35,-15.02,355.70
287432,116.96,-11.94,356.58
287455,116.61,-10.63,356.96
287478,116.38,-10.58,356.97
287502,116.09,-11.57,356.69
287525,115.83,-11.92,356.59
287548,115.63,-7.14,357.96
287571,115.46,-5.79,358.34
287594,115.16,-9.27,357.35
287618,114.55,-17.07,355.12
287641,112.98,-38.03,349.23
287664,111.58,-67.73,341.29
287687,110.67,-77.46,338.83
287710,109.95,-53.08,345.14
287733,110.71,-24.71,352.96
287756,109.24,-43.15,347.82
287779,110.03,-16.73,355.22
287803,111.06,26.44,7.53
287826,108.12,3.87,1.11
287849,104.24,-25.03,352.87
287872,100.71,-19.07,354.55
287895,97.78,-5.57,358.40
287919,94.87,-17.92,354.88
287942,91.58,-21.60,353.84
287965,86.62,-5.72,358.36
287988,88.64,20.81,5.94
288011,90.73,40.46,11.44
288035,92.00,20.73,5.92
288058,92.72,-7.54,357.84
288081,93.99,11.96,3.42
288105,96.01,60.70,16.88
288128,97.54,57.70,16.09
288151,99.89,83.53,22.67
288174,103.03,125.77,32.16
288197,98.18,-92.16,335.26
288220,93.41,-208.01,315.00
288243,87.46,-26.93,352.33
288266,89.72,38.01,10.76
288289,92.40,86.47,23.38
288312,93.19,20.08,5.73
288335,92.86,-36.19,349.74
288358,93.04,-41.06,348.40
288381,94.36,-4.87,358.61
288404,96.58,43.12,12.17
288427,98.97,60.92,16.94
288450,99.58,5.63,1.61
288473,99.66,-28.52,351.88
288496,100.15,-18.76,354.64
288519,100.99,5.02,1.44
288543,101.61,-1.58,359.55
288566,102.15,-6.89,358.03
288589,102.81,0.86,0.25
288612,103.46,5.01,1.43
288635,103.77,-7.24,357.93
288658,103.98,-15.51,355.57
288681,104.20,-12.69,356.37
288704,104.47,-9.01,357.42
288727,104.70,-8.04,357.70
288751,103.92,-28.06,352.01
288774,103.71,-38.82,349.02
288797,103.89,-22.78,353.50
288820,104.18,-2.34,359.33
288843,104.34,-4.87,358.61
288866,104.53,-6.11,358.25
288889,104.84,-3.53,358.99
288912,104.95,-11.50,356.71
288935,104.39,-30.95,351.20
288958,103.04,-74.61,339.54
288981,100.28,-136.96,325.60
289004,96.19,-249.62,315.00
289027,92.64,-119.66,329.11
289050,93.22,-43.33,347.78
289073,89.10,44.58,12.57
289096,92.54,73.45,20.17
289119,95.28,87.48,23.62
289142,94.38,74.40,20.40
289165,92.53,32.31,9.18
289188,90.19,23.47,6.69
289211,87.89,39.56,11.19
289235,85.62,55.55,15.52
289258,84.08,54.91,15.35
289281,87.17,54.67,15.29
289309,89.24,53.48,14.97
289332,91.75,63.30,17.56
289355,94.22,58.66,16.35
289378,95.71,32.04,9.10
289401,96.55,10.82,3.10
289424,97.74,21.49,6.13
289447,100.42,84.68,22.95
289470,104.59,157.38,38.20
289493,109.43,193.21,44.01
289516,115.58,248.20,45.00
289539,114.59,69.30,19.11
289562,106.91,-250.14,315.00
289585,103.04,-216.82,315.00
289608,95.81,-103.17,332.71
289631,98.41,42.08,11.88
289655,100.69,79.46,21.67
289678,100.12,-29.98,351.47
289701,100.17,-57.66,343.92
289724,94.31,-15.65,355.53
289747,96.06,38.07,10.78
289771,98.09,52.29,14.65
289794,99.70,38.20,10.81
289817,100.18,-3.44,359.02
289840,100.54,-16.12,355.39
289864,101.16,-5.15,358.53
289887,101.61,-4.79,358.63
289910,101.82,-13.99,356.00
289933,102.29,-10.71,356.93
289956,102.78,-6.83,358.04
289979,103.21,-7.39,357.88
290003,103.51,-10.45,357.01
290026,103.97,-5.24,358.50
290049,104.44,-3.40,359.03
290072,104.73,-6.95,358.01
290095,104.99,-5.46,358.44
290118,105.16,-5.65,358.38
290141,105.41,-5.78,358.35
290164,105.94,0.53,0.15
290188,106.33,1.95,0.56
290211,106.56,1.09,0.31
290234,106.66,-2.50,359.28
290257,106.49,-14.69,355.80
290280,105.67,-38.08,349.22
290303,104.26,-91.81,335.34
290326,101.29,-152.26,322.72
290349,99.38,-105.06,332.29
290372,92.03,-91.91,335.32
290395,93.47,6.21,1.78
290418,95.10,14.97,4.28
290441,95.84,-6.82,358.05
290464,92.37,-51.53,345.55
290487,87.69,-85.02,336.97
290511,84.54,-21.12,353.97
290534,82.77,27.12,7.72
290557,81.83,49.73,13.96
290580,81.02,63.48,17.61
290603,80.38,83.81,22.74
290626,82.48,83.95,22.77
290649,85.50,72.90,20.03
290672,88.29,55.92,15.62
290695,90.84,55.35,15.47
290718,92.74,43.37,12.23
290741,94.00,23.44,6.69
290764,96.01,58.11,16.20
290787,99.75,138.07,34.62
290810,104.50,190.42,43.59
290834,109.65,199.26,44.89
290858,115.64,231.95,45.00
290882,110.61,-113.33,330.46
290905,105.67,-250.14,315.00
290928,94.79,-250.14,315.00
290952,94.57,-81.61,337.80
290975,97.24,83.98,22.78
290998,98.98,76.50,20.93
291022,99.02,-15.44,355.58
291045,99.16,-41.88,348.17
291068,99.99,-20.71,354.09
291092,101.72,20.66,5.90
291116,103.11,27.05,7.70
291140,104.07,19.44,5.55
291163,104.65,5.40,1.55
291186,104.87,-12.03,356.56
291209,105.09,-16.85,355.18
291232,105.29,-16.08,355.40
291255,105.64,-8.71,357.51
291278,106.09,-3.79,358.92
291301,105.75,-16.12,355.39
291329,105.72,-24.98,352.88
291353,106.46,2.02,0.58
291377,107.21,19.59,5.59
291400,107.56,7.53,2.16
291423,107.71,1.82,0.52
291446,107.92,3.33,0.95
291469,108.40,7.67,2.20
291492,108.86,8.73,2.50
291515,109.19,8.02,2.29
291538,109.42,3.15,0.90
291561,109.52,-2.42,359.31
291584,109.34,-13.70,356.08
291607,109.02,-26.91,352.34
291630,108.50,-50.49,345.83
291653,106.09,-136.53,325.68
291676,102.92,-141.88,324.65
291699,93.58,-174.76,318.85
291723,93.88,-47.56,346.62
291746,89.23,26.20,7.46
291769,91.48,34.63,9.82
291792,89.94,-3.91,358.88
291815,85.63,-99.77,333.49
291839,81.88,-79.44,338.34
291862,78.86,-18.27,354.78
291885,78.09,59.69,16.62
291908,79.72,88.52,23.87
291931,80.87,72.50,19.93
291954,81.79,33.16,9.41
291977,82.75,6.57,1.88
292001,83.83,-5.55,358.41
292024,85.12,6.07,1.74
292047,86.84,25.03,7.13
292071,88.61,33.10,9.40
292095,90.41,32.60,9.26
292118,92.96,63.70,17.67
292141,96.87,131.13,33.25
292164,101.04,158.56,38.41
292188,105.40,163.52,39.27
292211,109.98,182.50,42.38
292234,114.44,182.96,42.45
292257,109.60,-90.55,335.64
292280,102.99,-250.14,315.00
292304,101.05,-147.21,323.64
292327,102.15,-14.89,355.74
292351,105.34,92.82,24.90
292374,106.90,54.89,15.35
292397,106.21,-25.90,352.62
292420,105.72,-28.87,351.79
292443,106.58,23.62,6.73
292466,107.85,30.49,8.67
292489,109.20,37.88,10.72
292512,109.84,24.31,6.93
292535,109.73,4.87,1.39
292558,109.52,-10.31,357.05
292581,109.29,-19.56,354.41
292605,109.13,-16.94,355.16
292628,109.14,0.69,0.20
292651,109.20,2.10,0.60
292675,109.22,2.22,0.64
292698,109.25,-1.02,359.71
292722,109.33,-0.76,359.78
292745,109.59,3.84,1.10
292769,109.84,4.18,1.20
292792,110.05,6.89,1.97
292815,110.14,6.05,1.73
292838,110.31,3.90,1.12
292861,110.40,-3.56,358.98
292884,109.24,-10.29,357.05
292907,109.03,-34.36,350.25
292930,107.60,-104.10,332.50
292953,105.79,-79.92,338.22
292976,103.32,-156.27,322.00
292999,95.34,-105.04,332.29
293022,95.62,-55.70,344.44
293045,95.47,-37.69,349.33
293068,96.68,-2.33,359.33
293091,97.95,25.50,7.27
293114,95.36,7.15,2.05
293137,95.10,26.18,7.46
293160,94.89,32.63,9.27
293183,94.57,6.96,1.99
293206,93.80,-20.79,354.06
293229,92.98,-23.17,353.39
293252,92.77,-5.71,358.36
293275,93.32,8.79,2.52
293298,94.25,10.02,2.87
293321,95.72,23.76,6.77
293349,97.85,43.19,12.19
293373,99.72,47.34,13.32
293396,100.65,18.21,5.20
293420,100.75,-20.91,354.03
293443,101.81,15.05,4.30
293466,103.72,63.76,17.68
293489,105.90,83.13,22.57
293512,108.42,98.98,26.33
293536,110.83,92.30,24.77
293559,104.56,-134.89,326.00
293582,96.80,-250.14,315.00
293605,97.61,-12.44,356.44
293628,94.16,72.51,19.93
293651,98.06,125.46,32.10
293674,99.76,57.71,16.10
293697,100.07,-16.40,355.31
293720,99.41,-60.02,343.30
293743,100.26,-28.56,351.87
293766,101.99,41.08,11.61
293789,104.02,63.89,17.71
293812,104.60,10.96,3.14
293836,104.13,-46.20,346.99
293859,104.03,-31.47,351.06
293882,104.32,-15.58,355.55
293906,104.31,-22.60,353.55
293930,104.29,-26.53,352.44
293953,104.65,-10.09,357.11
293976,105.22,0.26,0.07
293999,105.50,-8.40,357.59
294023,105.77,-9.92,357.16
294046,106.13,-5.92,358.31
294069,106.15,-1.60,359.54
294092,106.62,4.44,1.27
294115,107.00,3.92,1.12
294138,107.31,0.74,0.21
294161,107.59,-3.21,359.08
294184,107.59,-16.26,355.35
294207,106.95,-37.82,349.29
294230,105.70,-72.84,339.99
294253,102.43,-158.69,321.57
294276,100.37,-155.68,322.10
294299,98.29,-110.77,331.02
294322,91.63,-50.02,345.96
294345,93.31,1.71,0.49
294369,94.55,5.01,1.43
294392,95.76,-2.91,359.17
294415,95.12,-13.82,356.05
294438,91.06,-42.22,348.08
294461,89.70,-12.55,356.41
294485,88.47,10.95,3.14
294508,88.18,8.34,2.39
294531,87.28,9.08,2.60
294554,89.39,34.16,9.69
294577,91.51,58.18,16.22
294600,93.23,56.25,15.71
294623,94.85,39.38,11.14
294646,96.27,23.08,6.58
294669,97.59,16.00,4.57
294692,98.59,7.73,2.21
294715,99.07,-9.56,357.26
294739,98.68,-44.31,347.51
294763,98.89,-28.79,351.81
294786,100.41,33.31,9.46
294809,102.47,72.08,19.82
294832,104.14,63.59,17.64
294855,105.59,56.77,15.85
294878,106.80,48.88,13.73
294902,107.12,6.37,1.82
294925,100.58,-54.82,344.67
294948,92.84,-218.61,315.00
294971,89.86,-158.13,321.67
294994,84.70,-22.70,353.52
295017,86.86,65.57,18.15
295040,90.11,79.14,21.59
295063,92.22,38.49,10.89
295086,92.75,-18.32,354.77
295109,93.03,-52.43,345.31
295132,94.21,5.14,1.47
295155,96.02,33.41,9.48
295178,97.29,21.15,6.04
295201,97.40,-31.69,351.00
295224,97.44,-40.12,348.66
295247,97.99,-23.02,353.44
295270,98.58,-15.05,355.70
295293,99.30,-9.27,357.35
295316,100.02,-6.55,358.12
295339,100.76,-3.13,359.10
295367,101.22,-12.20,356.51
295390,101.72,-8.27,357.63
295413,102.11,-4.69,358.66
295437,102.33,-5.08,358.55
295460,102.62,-9.60,357.25
295483,102.84,-15.87,355.46
295506,102.74,-21.93,353.74
295529,102.32,-26.85,352.35
295552,102.05,-30.60,351.30
295575,101.84,-41.27,348.34
295598,101.11,-66.05,341.72
295621,100.62,-65.87,341.77
295645,99.93,-63.56,342.37
295668,98.69,-97.58,333.99
295691,96.60,-137.20,325.55
295714,95.78,-74.62,339.54
295737,97.03,-14.69,355.80
295760,91.28,-13.56,356.12
295783,92.75,12.94,3.70
295806,88.22,-6.29,358.20
295829,89.05,-30.56,351.31
295852,90.53,-3.74,358.93
295875,89.26,-5.37,358.46
295898,87.83,-33.89,350.38
295922,86.53,-40.76,348.48
295945,86.77,-17.95,354.87
295969,88.41,24.37,6.95
295993,90.43,45.55,12.83
296016,92.32,49.98,14.03
296039,94.02,40.82,11.53
296062,95.36,20.66,5.90
296085,96.18,-2.60,359.25
296108,96.86,-3.07,359.12
296131,96.57,-38.36,349.14
296155,95.84,-55.15,344.58
296178,95.86,-23.63,353.26
296202,96.51,12.42,3.55
296225,97.67,35.02,9.93
296248,100.26,91.27,24.53
296271,103.65,131.98,33.42
296294,99.84,-15.47,355.58
296317,93.32,-223.12,315.00
296340,94.93,31.68,9.00
296363,90.88,26.73,7.61
296386,94.56,98.00,26.10
296409,97.15,61.12,16.99
296432,98.83,38.62,10.93
296455,98.94,-16.53,355.28
296478,98.29,-45.11,347.29
296501,99.43,-9.40,357.31
296524,101.54,37.98,10.75
296547,102.69,16.45,4.70
296571,102.56,-34.93,350.09
296594,102.77,-32.05,350.89
296617,103.39,-4.49,358.71
296640,104.06,-1.45,359.58
296663,104.52,-10.82,356.90
296687,105.13,-4.56,358.69
296710,105.64,-1.78,359.49
296733,105.92,-10.85,356.89
296756,106.13,-13.74,356.07
296779,106.15,-17.24,355.07
296802,106.13,-18.54,354.70
296825,106.48,-11.60,356.68
296848,106.87,-10.13,357.10
296871,107.10,-13.37,356.17
296894,107.24,-12.31,356.48
296917,107.29,-15.01,355.71
296940,107.12,-27.13,352.28
296963,106.72,-44.82,347.37
296986,105.59,-82.69,337.54
297010,102.77,-134.71,326.04
297033,101.05,-124.51,328.10
297056,99.17,-136.54,325.68
297079,91.00,-127.08,327.57
297102,90.39,-92.48,335.18
297125,83.70,-57.44,343.98
297148,83.76,-74.66,339.53
297171,78.88,-150.89,322.97
297194,72.99,-174.48,318.90
297217,67.81,-137.20,325.55
297240,64.75,-41.93,348.16
297263,64.29,51.15,14.35
297286,64.71,57.28,15.98
297309,64.58,20.93,5.97
297332,63.57,-23.36,353.34
297355,63.38,-25.50,352.73
297383,64.74,2.20,0.63
297406,65.84,1.91,0.55
297429,66.58,-15.53,355.56
297453,67.46,-14.84,355.76
297476,69.45,27.63,7.87
297499,71.87,58.70,16.36
297522,73.24,22.66,6.47
297545,75.44,56.11,15.67
297568,78.31,89.33,24.07
297591,80.10,48.76,13.70
297614,72.10,-237.89,315.00
297637,66.09,-250.14,315.00
297660,65.69,-111.35,330.89
297683,61.99,42.57,12.02
297706,66.69,130.79,33.18
297729,69.43,70.93,19.53
297752,70.62,14.65,4.19
297775,71.37,-14.79,355.77
297798,72.57,-2.56,359.27
297821,74.86,11.01,3.15
297844,77.73,41.06,11.60
297867,79.38,27.65,7.87
297890,79.49,-36.27,349.72
