Timestamp,Angle,Velocity,Phase
244349,80.96,-3.21,359.08
244372,80.95,-2.65,359.24
244395,80.92,-3.60,358.97
244418,80.90,-3.61,358.97
244441,80.90,-3.01,359.14
244464,80.87,-3.47,359.01
244487,80.85,-3.55,358.98
244510,80.84,-3.24,359.07
244533,80.82,-3.00,359.14
244556,80.81,-3.66,358.95
244580,80.79,-3.59,358.97
244603,80.79,-3.16,359.09
244626,80.78,-3.06,359.12
244650,80.78,-2.95,359.15
244674,80.77,-2.97,359.15
244698,80.76,-2.99,359.14
244722,80.75,-2.43,359.30
244746,80.75,-2.40,359.31
244770,80.74,-2.96,359.15
244794,80.74,-2.69,359.23
244817,80.75,-2.47,359.29
244840,80.76,-3.08,359.12
244863,80.74,-3.37,359.03
244886,80.74,-2.55,359.27
244909,80.76,-2.57,359.26
244932,80.76,-3.05,359.13
244956,80.76,-3.01,359.14
244979,80.76,-3.04,359.13
245002,80.77,-3.08,359.12
245030,80.78,-2.69,359.23
245053,80.80,-2.45,359.30
245076,80.82,-2.64,359.24
245100,80.83,-2.96,359.15
245124,80.84,-2.96,359.15
245147,80.88,-2.44,359.30
245170,80.91,-2.88,359.18
245193,80.92,-2.99,359.14
245216,80.96,-2.22,359.36
245239,80.99,-2.35,359.33
245262,81.04,-2.34,359.33
245285,81.09,-2.11,359.39
245308,81.14,-2.33,359.33
245331,81.18,-2.36,359.32
245354,81.23,-2.61,359.25
245377,81.27,-2.61,359.25
245400,81.30,-3.01,359.14
245423,81.35,-3.21,359.08
245446,81.38,-3.35,359.04
245469,81.41,-3.22,359.08
245492,81.44,-3.36,359.04
245515,81.47,-2.97,359.15
245538,81.50,-3.08,359.12
245561,81.52,-3.60,358.97
245584,81.53,-3.89,358.89
245607,81.55,-3.43,359.02
245630,81.57,-3.92,358.88
245653,81.59,-3.97,358.86
245676,81.59,-4.33,358.76
245699,81.59,-3.89,358.89
245722,81.63,-2.85,359.18
245746,81.65,-3.05,359.13
245769,81.65,-3.45,359.01
245792,81.67,-3.17,359.09
245815,81.68,-3.18,359.09
245838,81.67,-3.33,359.05
245861,81.69,-2.99,359.14
245884,81.71,-2.98,359.15
245907,81.72,-3.24,359.07
245930,81.71,-3.35,359.04
245953,81.73,-3.09,359.11
245976,81.73,-3.40,359.02
245999,81.73,-3.61,358.97
246022,81.74,-3.20,359.08
246045,81.75,-3.35,359.04
246068,81.75,-3.56,358.98
246091,81.75,-3.63,358.96
246114,81.75,-3.45,359.01
246137,81.73,-3.27,359.06
246160,81.71,-3.52,358.99
246183,81.72,-3.09,359.11
246206,81.70,-3.64,358.96
246229,81.69,-3.48,359.00
246252,81.68,-3.28,359.06
246275,81.66,-3.94,358.87
246298,81.64,-3.86,358.89
246321,81.63,-3.11,359.11
246344,81.62,-3.43,359.02
246367,81.62,-3.36,359.04
246390,81.61,-2.97,359.15
246413,81.60,-3.36,359.04
246436,81.58,-3.98,358.86
