Timestamp,Angle,Velocity,Phase
118187,-116.47,-2.74,180.79
118210,-116.47,-2.65,180.76
118233,-116.48,-2.74,180.79
118256,-116.51,-3.02,180.87
118279,-116.53,-3.26,180.93
118302,-116.59,-5.63,181.61
118325,-116.68,-6.00,181.72
118348,-116.77,-5.52,181.58
118371,-116.81,-4.04,181.16
118394,-116.79,-3.68,181.05
118417,-116.82,-2.93,180.84
118440,-116.83,-2.47,180.71
118463,-116.85,-2.18,180.63
118486,-116.88,-4.10,181.17
118509,-116.94,-5.08,181.45
118537,-117.04,-5.23,181.50
118560,-117.09,-4.17,181.19
118583,-117.15,-3.87,181.11
118606,-117.17,-3.14,180.90
118629,-117.16,-1.82,180.52
118652,-117.17,-1.78,180.51
118675,-117.14,-1.89,180.54
118698,-117.12,-2.16,180.62
118721,-117.12,-7.15,182.05
118745,-117.45,-12.64,183.62
118768,-117.59,-7.35,182.11
118791,-117.64,-5.11,181.46
118814,-117.69,-3.80,181.09
118837,-117.76,-4.95,181.42
118860,-117.87,-4.87,181.39
118883,-117.93,-2.56,180.73
118906,-117.88,0.56,179.84
118929,-117.83,0.72,179.79
118953,-117.82,0.16,179.95
118976,-117.83,-0.95,180.27
118999,-117.82,-1.14,180.33
119022,-117.80,-0.41,180.12
119045,-117.80,-0.35,180.10
119069,-117.82,-0.61,180.17
119092,-117.76,0.79,179.77
119115,-117.72,-0.39,180.11
119140,-117.73,-1.44,180.41
119163,-117.84,-7.31,182.09
119186,-118.06,-9.76,182.79
119209,-118.18,-5.65,181.62
119232,-118.25,-3.75,181.07
119255,-118.32,-3.66,181.05
119278,-118.42,-4.98,181.43
119301,-118.49,-4.53,181.30
119324,-118.54,-2.49,180.71
119347,-118.58,-1.34,180.38
119370,-118.58,-0.19,180.05
119393,-118.54,-0.16,180.05
119416,-118.55,-1.49,180.43
119440,-118.56,-1.82,180.52
119463,-118.57,-1.98,180.57
119486,-118.61,-2.25,180.65
119509,-118.66,-2.18,180.63
119532,-118.68,-1.31,180.37
119555,-118.67,-0.76,180.22
119578,-118.77,-4.92,181.41
119601,-118.88,-6.13,181.76
119624,-118.97,-5.05,181.45
119647,-119.05,-3.10,180.89
119671,-119.13,-2.60,180.75
119694,-119.17,-2.34,180.67
119717,-119.20,-2.15,180.61
119741,-119.26,-2.95,180.85
119765,-119.34,-4.82,181.38
119788,-119.45,-5.46,181.56
119811,-119.55,-5.27,181.51
119834,-119.66,-6.23,181.78
119857,-119.79,-4.81,181.38
119880,-119.84,-2.88,180.82
119903,-119.91,-2.05,180.59
119926,-119.97,-0.62,180.18
119949,-120.05,-0.97,180.28
119972,-120.06,1.44,179.59
119995,-120.01,3.11,179.11
120018,-119.89,7.51,177.85
120041,-119.56,16.74,175.22
120064,-119.10,18.59,174.69
120088,-118.96,5.42,178.45
120111,-119.12,-4.66,181.34
120134,-119.30,-4.64,181.33
120157,-119.36,-2.70,180.77
120180,-119.57,-5.90,181.69
120203,-119.71,-2.28,180.65
120227,-119.76,2.15,179.39
120250,-119.64,9.98,177.14
120274,-119.29,18.38,174.75
120297,-118.94,18.60,174.69
120320,-118.77,9.22,177.36
120343,-118.88,0.98,179.72
120366,-119.09,-2.78,180.80
120389,-119.30,-5.15,181.48
120412,-119.40,0.68,179.81
120435,-119.42,0.57,179.84
120458,-119.70,-5.20,181.49
120481,-119.99,-6.42,181.84
120504,-120.44,-9.70,182.78
120528,-121.05,-12.30,183.52
120556,-121.75,-13.86,183.96
120579,-122.34,-11.73,183.36
120602,-122.82,-4.35,181.25
120625,-123.12,6.59,178.11
120648,-123.27,6.01,178.28
120671,-123.49,-2.29,180.66
120695,-123.79,-5.82,181.67
120718,-123.95,1.10,179.69
120741,-124.19,-4.40,181.26
120764,-124.55,-16.46,184.70
120787,-125.11,-13.11,183.75
120810,-125.27,3.66,178.95
120833,-124.70,10.01,177.14
120856,-124.22,25.02,172.87
120879,-123.81,22.92,173.46
120902,-123.11,25.25,172.80
120926,-122.48,18.88,174.61
120949,-122.01,5.62,178.39
120973,-122.28,-29.31,188.34
120996,-122.64,-27.11,187.72
121019,-122.58,-4.09,181.17
121042,-122.40,4.42,178.73
121065,-122.05,8.44,177.58
121088,-121.92,-1.69,180.49
121112,-121.80,-3.89,181.12
121135,-121.68,-11.54,183.30
121158,-121.61,-12.63,183.61
121181,-121.64,-9.71,182.78
121204,-121.73,-11.92,183.41
121227,-121.97,-17.40,184.97
121250,-122.15,-20.56,185.87
121274,-122.32,-27.50,187.83
121297,-122.57,-32.66,189.28
121320,-123.01,-44.52,192.55
121343,-123.84,-50.92,194.29
121366,-124.25,-37.40,190.59
121389,-124.85,-76.05,200.82
121412,-126.30,-107.32,208.22
121435,-128.04,-90.18,204.27
121458,-129.56,-38.15,190.80
121481,-130.30,-5.07,181.45
121504,-130.55,-83.18,202.58
121527,-131.99,-141.16,215.21
121550,-134.29,-178.63,221.77
121573,-136.80,-165.56,219.62
121597,-136.88,-25.24,187.19
121620,-135.20,33.46,170.50
121643,-132.94,59.79,163.35
121666,-131.08,47.63,166.61
121689,-130.11,19.08,174.55
121712,-129.46,6.27,178.21
121735,-129.03,15.70,175.51
121758,-129.27,-8.02,182.29
121781,-128.26,55.70,164.44
121804,-125.90,135.06,145.97
121827,-123.53,147.63,143.57
121850,-114.30,148.83,143.34
121873,-105.00,164.99,140.48
121896,-96.22,156.69,141.92
121919,-87.60,159.20,141.48
121942,-79.42,142.43,144.54
121965,-78.92,111.26,150.91
121988,-78.03,50.14,165.93
122012,-79.64,-104.85,207.67
122035,-85.17,-183.13,222.48
122058,-87.97,-109.53,208.71
122081,-90.17,-88.21,203.80
122105,-91.71,-47.52,193.37
122128,-92.41,-33.68,189.56
122151,-93.09,-22.61,186.45
122174,-93.90,-29.27,188.33
122197,-94.67,-28.44,188.09
122220,-95.48,-28.99,188.25
122243,-96.21,-25.73,187.33
122266,-96.96,-25.77,187.34
122289,-97.82,-29.11,188.28
122312,-98.76,-30.62,188.70
122335,-99.68,-26.50,187.55
122358,-100.50,-22.02,186.28
122381,-101.55,-35.41,190.04
122404,-102.71,-33.60,189.54
122427,-103.34,-8.45,182.42
122450,-103.68,1.64,179.53
122473,-104.13,-1.91,180.55
122496,-104.70,-4.90,181.40
122519,-105.29,-5.21,181.49
122542,-105.68,0.21,179.94
122570,-106.19,-2.00,180.57
122593,-106.82,-6.14,181.76
122616,-107.62,-15.79,184.52
122639,-108.60,-20.01,185.71
122662,-109.76,-26.77,187.62
122685,-110.96,-26.69,187.60
122708,-112.17,-28.02,187.97
122731,-113.34,-39.78,191.25
122754,-114.73,-61.56,197.11
122777,-116.37,-102.61,207.16
122800,-119.59,-168.00,220.03
122823,-123.71,-210.65,225.00
122846,-127.72,-158.31,218.36
122869,-129.04,-38.69,190.95
122892,-129.13,16.92,175.16
122915,-128.32,49.94,165.98
122938,-126.83,-3.69,181.06
122961,-126.53,-77.04,201.07
122984,-127.41,-94.27,205.24
123007,-128.78,-85.42,203.13
123030,-129.94,-62.48,197.35
123053,-129.83,9.21,177.36
123076,-126.54,144.25,144.20
123099,-122.65,185.92,137.09
123122,-119.77,157.45,141.79
123145,-117.91,111.75,150.81
123168,-117.41,57.27,164.02
123191,-118.45,-6.91,181.98
123214,-120.87,-68.05,198.79
123237,-116.97,-80.18,201.84
123260,-118.68,-27.47,187.82
123283,-109.06,162.57,140.89
123306,-97.93,250.13,135.00
123330,-86.95,250.13,135.00
123354,-76.23,250.13,135.00
123377,-65.68,250.13,135.00
123400,-55.55,234.94,135.00
123423,-55.69,-34.79,189.87
123446,-61.05,-156.96,218.13
123469,-64.49,-103.40,207.34
123492,-67.79,-117.64,210.46
123515,-71.66,-154.17,217.63
123538,-74.98,-122.59,211.51
123561,-77.20,-74.53,200.44
123584,-78.70,-46.73,193.15
123607,-79.98,-40.98,191.58
123630,-80.81,-24.74,187.05
123653,-81.83,-23.05,186.58
123676,-82.81,-20.30,185.80
123699,-83.63,-16.27,184.65
123722,-84.41,-13.60,183.89
123745,-85.31,-17.38,184.97
123768,-86.20,-18.45,185.27
123791,-87.18,-21.22,186.06
123814,-88.10,-14.69,184.20
123837,-88.32,13.36,176.18
123860,-88.98,-4.73,181.36
123883,-89.86,-10.47,183.00
123906,-90.42,0.50,179.86
123929,-91.21,-8.92,182.55
123952,-92.25,-18.69,185.34
123975,-93.26,-16.51,184.72
123998,-94.08,-8.40,182.40
124021,-95.02,-14.50,184.15
124044,-96.04,-18.86,185.39
124067,-97.11,-21.08,186.02
124090,-98.43,-33.12,189.40
124113,-100.02,-49.94,194.02
124136,-101.71,-62.37,197.32
124159,-103.42,-81.23,202.10
124182,-106.04,-130.78,213.18
124205,-110.38,-217.44,225.00
124228,-115.38,-250.14,225.00
124252,-120.59,-184.52,222.69
124276,-122.04,-52.37,194.67
124299,-123.04,-30.47,188.66
124322,-124.06,-14.95,184.28
